1467042414889;"nbDocs";"average";"imediate"
1467042415390;30.0;42.735042572021484;59.8802375793457
1467042420402;173.0;30.271215438842773;28.525833129882812
1467042422902;333.0;40.535606384277344;64.0
1467042423403;397.0;45.54841613769531;127.74451446533203
1467042424403;537.0;55.269657135009766;140.0
1467042426404;824.0;70.32516479492188;143.42828369140625
1467042427405;934.0;73.43921661376953;109.8901138305664
1467042427905;1014.0;76.71356964111328;160.0
1467042428405;1072.0;78.1455078125;116.0
1467042428906;1152.0;81.0240478515625;160.0
1467042433907;1971.0;102.54942321777344;163.73451232910156
1467042438908;2751.0;113.5791244506836;155.9687957763672
1467042443910;3521.0;120.48728942871094;153.9384307861328
1467042448911;4301.0;125.67204284667969;155.9687957763672
1467042453913;5071.0;129.27650451660156;153.9384307861328
1467042458914;5791.0;130.9381103515625;143.97120666503906
1467042463920;6581.0;133.67050170898438;157.8106231689453
1467042468942;7341.0;135.30551147460938;151.33413696289062
1467042473961;8091.0;136.5039825439453;149.46194458007812
1467042478962;8811.0;137.0828399658203;143.94241333007812
1467042483964;9511.0;137.29141235351562;139.9720001220703
1467042488965;10251.0;138.00856018066406;147.94082641601562
1467042493966;11021.0;139.015380859375;153.96920776367188
1467042498968;11741.0;139.30780029296875;143.94241333007812
1467042503969;12451.0;139.45700073242188;141.9716033935547
1467042508980;13211.0;140.10585021972656;151.66632080078125
1467042513982;13961.0;140.60122680664062;149.94003295898438
1467042518983;14681.0;140.76283264160156;143.97120666503906
1467042523985;15401.0;140.90834045410156;143.94241333007812
1467042528997;16091.0;140.767578125;137.6970672607422
1467042533998;16891.0;141.57119750976562;159.93601989746094
1467042539000;17641.0;141.9090576171875;149.9700164794922
1467042544001;18361.0;141.98773193359375;143.94241333007812
1467042549003;19021.0;141.6138153076172;131.9472198486328
1467042554004;19751.0;141.7702178955078;145.97080993652344
1467042559006;20551.0;142.39981079101562;159.93601989746094
1467042564007;21301.0;142.6533660888672;149.9700164794922
1467042569009;22021.0;142.6951446533203;143.94241333007812
1467042574010;22751.0;142.79795837402344;145.97080993652344
1467042579012;23521.0;143.137939453125;153.96920776367188
1467042584013;24271.0;143.33888244628906;149.94003295898438
1467042589014;24981.0;143.29965209960938;141.9716033935547
1467042594016;25701.0;143.31759643554688;143.94241333007812
1467042599017;26471.0;143.6065673828125;153.96920776367188
1467042604019;27211.0;143.72108459472656;147.94082641601562
1467042609020;27921.0;143.67605590820312;141.9716033935547
1467042614022;28661.0;143.7830810546875;147.94082641601562
1467042619023;29411.0;143.93450927734375;149.9700164794922
1467042624025;30161.0;144.0780029296875;149.94003295898438
1467042629026;30961.0;144.44874572753906;159.96800231933594
1467042634028;31721.0;144.61956787109375;151.93922424316406
1467042639032;32431.0;144.55860900878906;141.88648986816406
1467042644034;33161.0;144.5894012451172;145.97080993652344
1467042649040;33961.0;144.9138641357422;159.7763214111328
1467042654042;34721.0;145.06068420410156;151.93922424316406
1467042659043;35431.0;144.99746704101562;141.9716033935547
1467042664052;36171.0;145.05242919921875;147.73406982421875
